"","x"
"1231","2"
"1232","0"
"1233","0"
"1234","0"
"1235","0"
"1236","0"
"1237","1"
"1238","0"
"1239","2"
"1240","4"
"1241","4"
"1242","4"
"1243","0"
"1244","0"
"1245","1"
"1246","1"
"1247","0"
"1248","0"
"1249","0"
"1250","0"
"1251","4"
"1252","3"
"1253","1"
"1254","0"
"1255","1"
"1256","1"
"1257","0"
"1258","0"
"1259","0"
"1260","1"
"1261","0"
"1262","4"
"1263","0"
"1264","1"
"1265","1"
"1266","1"
"1267","1"
"1268","1"
"1269","0"
"1270","0"
"1271","2"
"1272","0"
"1273","1"
"1274","1"
"1275","0"
"1276","1"
"1277","0"
"1278","0"
"1279","0"
"1280","0"
"1281","0"
"1282","0"
"1283","0"
"1284","0"
"1285","0"
"1286","0"
"1287","1"
"1288","0"
"1289","1"
"1290","1"
"1291","0"
"1292","1"
"1293","4"
"1294","1"
"1295","1"
"1296","0"
"1297","0"
"1298","4"
"1299","0"
"1300","1"
"1301","0"
"1302","0"
"1303","0"
"1304","0"
"1305","1"
"1306","1"
"1307","1"
"1308","1"
"1309","0"
"1310","1"
"1311","4"
"1312","0"
"1313","1"
"1314","2"
"1315","2"
"1316","1"
"1317","0"
"1318","3"
"1319","1"
"1320","1"
"1321","1"
"1322","1"
"1323","0"
"1324","0"
"1325","0"
"1326","2"
"1327","0"
"1328","2"
"1329","1"
"1330","0"
"1331","1"
"1332","2"
"1333","2"
"1334","0"
"1335","0"
"1336","0"
"1337","2"
"1338","0"
"1339","1"
"1340","4"
"1341","1"
"1342","4"
"1343","1"
"1344","3"
"1345","2"
"1346","3"
"1347","0"
"1348","1"
"1349","3"
"1350","1"
"1351","2"
"1352","1"
"1353","3"
"1354","1"
"1355","0"
"1356","3"
"1357","1"
"1358","0"
"1359","1"
"1360","0"
"1361","0"
"1362","1"
"1363","3"
"1364","1"
"1365","0"
"1366","1"
"1367","3"
"1368","1"
"1369","0"
"1370","1"
"1371","1"
"1372","2"
"1373","1"
"1374","1"
"1375","2"
"1376","0"
"1377","0"
"1378","1"
"1379","1"
"1380","1"
"1381","0"
"1382","0"
"1383","0"
"1384","0"
"1385","0"
"1386","0"
"1387","2"
"1388","3"
"1389","1"
"1390","0"
"1391","0"
"1392","0"
"1393","1"
"1394","0"
"1395","1"
"1396","4"
"1397","1"
"1398","0"
"1399","0"
"1400","0"
"1401","0"
"1402","4"
"1403","1"
"1404","0"
"1405","0"
"1406","0"
"1407","4"
"1408","4"
"1409","0"
"1410","1"
"1411","2"
"1412","0"
"1413","0"
"1414","0"
"1415","0"
"1416","3"
"1417","1"
"1418","4"
"1419","0"
"1420","2"
"1421","0"
"1422","0"
"1423","0"
"1424","0"
"1425","2"
"1426","0"
"1427","2"
"1428","0"
"1429","3"
"1430","3"
"1431","0"
"1432","0"
"1433","2"
"1434","0"
"1435","2"
"1436","0"
"1437","4"
"1438","0"
"1439","0"
"1440","4"
"1441","1"
"1442","4"
"1443","0"
"1444","0"
"1445","1"
"1446","0"
