"","GC","PGC","M/TC","OSs","EPL-IN"
"Antxr1",0.00560778451253773,0.00458635728292971,0.0142620260670786,0.00322536884416667,0
"Antxr2",0.000206948129092176,0.00107901174601299,0.00228400113239188,0,0
"Aoc3",0.000423639854190852,0,0,0,0
"Aox1",0.00672754981657766,0.0137688151098641,0.00292415142453663,0.00210439064,0
"Aox3",0.0106319842802415,0.00783520061311282,0.00380060304766108,0,0
"Ap1g2",0.0122381981040167,0.0046075471488482,0.00627239538217123,0,0
"Ap1m2",0,0,0,0.00298823101916667,0
"Ap1s3",0.000483279191200371,0,0.0200322401023831,0.0021526959625,0
"Apcdd1",0.00277626899779429,0.0009841506497342,0,0,0
"Apoa2",0.00291350084815417,0.0137703188310691,0.0201928881023831,0.00311120196166667,0.0387175053167702
"Apobec3",0.00719408235291386,0.00635749294447726,0.0166123772453663,0.00351009127666667,0
"Apol9a",0.00128641310749942,0.00321237449616066,0,0,0
"Apold1",0.139703939771535,0.812016255260484,0.0310841615119153,0.01161336682,0
"Aqp9",0.00241721407940562,0.00671962228529238,0.00920333073786408,0,0
"Arap2",0.0343203092605062,0.0688526528487891,0.355511497560459,0.0318943567283333,0.0646718222857143
"Areg",0.0418589523151846,0,0.00361090169285084,0.00445478037916667,0
"Arg2",0.0267588780162526,0.00986860651860602,0.0095809111624007,0,0
"Arhgap10",0.0111543923757836,0.00876588754341406,0.0304343562850838,0.00202135290166667,0.00948698013043478
"Arhgap22",0.0769351660625725,0.0216621973254578,0.0298687901756399,0.00869276157666667,0.0143937147204969
"Arhgap28",0.000537255224750406,0,0,0,0
"Arhgap30",0.00266031482006037,0.00200216538629652,0,0,0
"Arhgap4",0.00404761759890875,0,0.00217743910326567,0.00135169666333333,0
"Arhgdig",0.0425540143390991,0.046813038724749,0.445477668028244,0.0627099112791667,0.25644367621118
"Arhgef5",0.000991674893545391,0.0011302632215003,0.00318545182877317,0,0
"Arid3a",0.0232566601781983,0.0495078841033668,0.0141892858331862,0.00243344893166667,0
"Arid5b",0.00874530754028326,0.0158896069001772,0.0761498483380406,0.00558419774666667,0.0156980512795031
"Arl11",0.0012252140819596,0.00103815306556409,0.00634623756928508,0,0
"Arl9",0.000183531271302531,0.000999231730064973,0,0,0
"Arr3",0.00326708057882517,0.000639155043709391,0,0,0
"Arsi",0.00506713110877641,0.0134772789037212,0,0,0
"Arsj",0.00570038130845136,0.0118934026952156,0,0,0
"Artn",0.0375688490575807,0.0111200254961607,0.00774252140335393,0.00715266322333333,0
"Asah2",0.0011674108618528,0.00308633504370939,0.0176991524483672,0.00453490993,0.0432862806397515
"Asb11",0.000928458767935918,0.000658600438275251,0.0408731292630185,0.00229273808583333,0
"Asb2",0.00456995637102391,0.00452065441937389,0.0480527029796999,0.008291881505,0
"Asb4",0.000300282853958672,0.000664848871825162,0,0,0
"Ascl1",0.00297464010123055,0.008091181246899,0.00279921806001765,0.00203002103416667,0
"Asic4",0.0473988650092872,0.210382904092735,0.0159630376654899,0.00363408965416667,0.357104025130435
"Asns",0.0489235268301602,0.0546118807962197,0.0787163871421006,0.00542103264833333,0.180380662080745
"Aspdh",0.00241702417355468,0.00708935624571766,0.0372587641703442,0.00440340109916667,0
"Astn2",0.0273656425554911,0.058119992476078,0.132354135405119,0.00585439774583333,0.200388815968944
"Atf3",0.00601876197817506,0.00115478517188423,0.0131956683865843,0.00707475157583333,0
"Atf5",0.106784685368702,0.14709667759303,0.114521914874669,0.957609752418333,0.206941216925466
"Atoh8",0.00815550091885303,0.0166406928499705,0.00103137646866726,0,0
"Atp10b",0.000698222092755978,0,0,0,0
"Atp13a4",0.00167529787787323,0.0037404071216775,0.00711406699470432,0.0018675560125,0
"Atp4a",0.000196473447759461,0,0.00222510990467785,0,0
"Atp6ap1l",0.0259910945525888,0.0109210429492026,0.547870537017652,0.0133299267958333,0.0712992286708074
"Atp8b1",0.0114255075306478,0.00096882138747785,0,0,0
"Atp8b3",0.000270084860691897,0,0,0,0
"Atrnl1",0.0485840305127699,0.0199347374766686,0.379875069589585,0.0188172561141667,0.155215635757764
"AU021092",0.00265593017993963,0.00445304248434731,0.0077657777537511,0,0
"Aurka",0.000990855762827954,0.00183070792852924,0.0032802440141218,0,0
"Aurkb",0.000179275619572788,0,0,0,0
