cell    bio_celltype
Cell1261	Ductal - CRISP3 high/centroacinar like
Cell1262	Ductal - terminal ductal like
Cell1263	Ductal - MHC Class II
Cell1264	Cancer clone B
Cell1265	Cancer clone B
Cell1266	Cancer clone B
Cell1267	Ductal - terminal ductal like
Cell1268	Ductal - MHC Class II
Cell1269	Ductal - terminal ductal like
Cell127	mDCs B
Cell1270	Ductal - CRISP3 high/centroacinar like
Cell1271	Macrophages B
Cell1272	Ductal - CRISP3 high/centroacinar like
Cell1273	Ductal - CRISP3 high/centroacinar like
Cell1274	Cancer clone A
Cell1275	Cancer clone A
Cell1276	Ductal - CRISP3 high/centroacinar like
Cell1277	Ductal - MHC Class II
Cell1278	Ductal - CRISP3 high/centroacinar like
Cell1279	Ductal - CRISP3 high/centroacinar like
Cell128	Cancer clone B
Cell1280	Ductal - CRISP3 high/centroacinar like
Cell1281	Ductal - MHC Class II
Cell1282	Ductal - CRISP3 high/centroacinar like
Cell1283	Cancer clone B
Cell1284	Tuft cells
Cell1285	Ductal - MHC Class II
Cell1286	Cancer clone A
Cell1287	Ductal - terminal ductal like
Cell1288	Ductal - MHC Class II
Cell1289	Ductal - CRISP3 high/centroacinar like
Cell129	Ductal - MHC Class II
Cell1290	Ductal - terminal ductal like
Cell1291	Ductal - terminal ductal like
Cell1292	Ductal - CRISP3 high/centroacinar like
Cell1293	Ductal - APOL high/hypoxic
Cell1294	Ductal - CRISP3 high/centroacinar like
Cell1295	Ductal - terminal ductal like
Cell1296	Cancer clone B
Cell1297	Ductal - terminal ductal like
Cell1298	Ductal - CRISP3 high/centroacinar like
Cell1299	Cancer clone A
Cell13	Ductal - CRISP3 high/centroacinar like
Cell130	Ductal - CRISP3 high/centroacinar like
Cell1300	Ductal - CRISP3 high/centroacinar like
Cell1301	Ductal - MHC Class II
Cell1302	T cells & NK cells
Cell1303	Ductal - CRISP3 high/centroacinar like
Cell1304	Ductal - CRISP3 high/centroacinar like
Cell1305	T cells & NK cells
Cell1306	Cancer clone B
Cell1307	Macrophages B
Cell1308	Ductal - CRISP3 high/centroacinar like
Cell1309	Cancer clone B
Cell131	Ductal - MHC Class II
Cell1310	Cancer clone B
Cell1311	Ductal - CRISP3 high/centroacinar like
Cell1312	Ductal - APOL high/hypoxic
Cell1313	Tuft cells
Cell1314	Ductal - CRISP3 high/centroacinar like
Cell1315	Ductal - CRISP3 high/centroacinar like
Cell1316	mDCs B
Cell1317	Ductal - APOL high/hypoxic
Cell1318	Ductal - MHC Class II
Cell1319	T cells & NK cells
Cell132	Ductal - CRISP3 high/centroacinar like
Cell1320	Ductal - terminal ductal like
Cell1321	Ductal - CRISP3 high/centroacinar like
Cell1322	Ductal - CRISP3 high/centroacinar like
Cell1323	Ductal - terminal ductal like
Cell1324	Cancer clone B
Cell1325	Cancer clone A
Cell1326	Ductal - CRISP3 high/centroacinar like
Cell1327	Cancer clone A
Cell1328	Ductal - APOL high/hypoxic
Cell1329	Ductal - CRISP3 high/centroacinar like
Cell133	Ductal - terminal ductal like
Cell1330	Ductal - CRISP3 high/centroacinar like
Cell1331	Cancer clone B
Cell1332	Ductal - terminal ductal like
Cell1333	Cancer clone B
Cell1334	Cancer clone A
Cell1335	Ductal - CRISP3 high/centroacinar like
Cell1336	Tuft cells
Cell1337	Ductal - MHC Class II
Cell1338	Cancer clone B
Cell1339	Ductal - terminal ductal like
Cell134	Ductal - CRISP3 high/centroacinar like
Cell1340	Cancer clone B
Cell1341	Cancer clone A
Cell1342	Ductal - MHC Class II
Cell1343	Ductal - MHC Class II
Cell1344	Ductal - MHC Class II
Cell1345	Cancer clone B
Cell1346	Ductal - terminal ductal like
Cell1347	Ductal - APOL high/hypoxic
Cell1348	Ductal - CRISP3 high/centroacinar like
Cell1349	Macrophages B
Cell135	Cancer clone A
Cell1350	Cancer clone A
Cell1351	Ductal - MHC Class II
Cell1352	Cancer clone B
Cell1353	Ductal - terminal ductal like
Cell1354	Ductal - terminal ductal like
Cell1355	Monocytes
Cell1356	Tuft cells
Cell1357	pDCs
Cell1358	Ductal - MHC Class II
Cell1359	Cancer clone B
Cell136	Ductal - terminal ductal like
