"","CT1","CT2","CT3","CT4"
"X1_3",0.214090007455112,0.238207119075194,0.358209202196923,0.189493671272771
"X1_4",0.214097128240796,0.238109611397951,0.358240123455037,0.189553136906217
"X1_5",0.214091311599571,0.238243902291709,0.358081902028872,0.189582884079848
"X1_6",0.214089422083457,0.238492087308317,0.358264468107062,0.189154022501165
"X1_7",0.214091012633045,0.23859200338207,0.358108869244975,0.189208114739909
"X1_8",0.214089751368083,0.238010715839286,0.358235374939837,0.189664157852794
"X1_9",0.380734181559092,0.19481333265918,0.193446308865415,0.231006176916314
"X2_1",0.214400666191567,0.238419765911905,0.358081556336297,0.189098011560232
"X2_10",0.379771390250107,0.194815831068576,0.193429230639028,0.231983548042289
"X2_11",0.380089979788167,0.194815004339993,0.193434881857735,0.231660134014105
"X2_12",0.380869595641495,0.194812981264425,0.193448710873341,0.230868712220739
"X2_13",0.381023470496127,0.19483948906783,0.193451551445757,0.230685488990286
"X2_14",0.380996281065549,0.19481265252023,0.193450958050202,0.230740108364019
"X2_15",0.381154221221189,0.194812242671112,0.193453759631094,0.230579776476606
"X2_16",0.381599068178046,0.194811088308991,0.1934616504346,0.230128193078363
"X2_2",0.214289787258725,0.2382816612905,0.358227952274969,0.189200599175807
"X2_3",0.214141165248303,0.23818697959681,0.358358309659655,0.189313545495232
"X2_4",0.21438911282035,0.230822550888265,0.329326842499343,0.225461493792041
"X2_5",0.2140893607052,0.238248020170864,0.358271965245122,0.189390653878815
"X2_6",0.214088938069996,0.238613398707112,0.358310874972501,0.188986788250391
"X2_7",0.214088202232064,0.237986020477182,0.35838647117476,0.189539306115994
"X2_8",0.214088765843376,0.238114187894858,0.358330758284926,0.18946628797684
"X2_9",0.379670330572632,0.194816093314865,0.193427438017892,0.232086138094611
"X3_1",0.214721430786226,0.238443654577421,0.358010739244127,0.188824175392226
"X3_10",0.379962814677835,0.194815334328956,0.193432626172081,0.231789224821127
"X3_11",0.380175261922487,0.19481478303587,0.193436394612973,0.23157356042867
"X3_12",0.38688128170191,0.194797127016379,0.193577280790032,0.224744310491679
"X3_13",0.355069955993758,0.194879930416877,0.192991070590882,0.257059042998484
"X3_14",0.381232226887408,0.194812040249167,0.193455143314572,0.230500589548854
"X3_15",0.381412140821633,0.19481157337887,0.193458334671691,0.230317951127806
"X3_16",0.381710718365769,0.194810798580703,0.193463630912782,0.230014852140746
"X3_2",0.214414212625436,0.238302903198505,0.358308517973252,0.188974366202807
"X3_3",0.214087011258173,0.238333744041726,0.358500355034391,0.18907888966571
"X3_4",0.214170991770594,0.238300299432444,0.358439530285329,0.189089178511633
"X3_5",0.214171333291979,0.238510170087707,0.358436467404745,0.188882029215569
"X3_6",0.214086570940676,0.238071834820081,0.358544885651216,0.189296708588027
"X3_7",0.214087666471284,0.23813946332852,0.358437720465044,0.189335149735153
"X3_8",0.214088071351926,0.238184727685146,0.358397988937533,0.189329212025395
"X3_9",0.379844802936872,0.194815640565251,0.19343053285112,0.231909023646757
"X4_1",0.214831823747057,0.238400566706,0.358141594101763,0.188626015445181
"X4_10",0.380174046116457,0.194814786190843,0.19343637304671,0.231574794645989
"X4_11",0.380415454145028,0.194814159745547,0.193440655201031,0.231329730908394
"X4_12",0.380674911021239,0.194813310277751,0.19346046328787,0.23105131541314
"X4_13",0.380951529584144,0.194811743553355,0.193538635166251,0.230698091696251
"X4_14",0.381473600780833,0.19481141389245,0.193459424863394,0.230255560463323
"X4_15",0.381703506166022,0.194810817296106,0.193463502981029,0.230022173556844
"X4_16",0.388311264065638,0.194793670398048,0.193580712997638,0.223314352538677
